Id	Description	Map id	Map name	Symbol	Abbreviation	Synonyms	References	Elements	Reaction external id	Mechanical Confidence Score	Lower Bound	Upper Bound	Gene Protein Reaction	Subsystem	Reaction type
619510		16167	CFTR_network_edit					REACTANT:1496148,PRODUCT:1496154	e91__e91_r						Positive influence
619511		16167	CFTR_network_edit					REACTANT:1496134,PRODUCT:1496262	e142__e142_r						Positive influence
619512		16167	CFTR_network_edit				PUBMED:17409124,PUBMED:11956211	REACTANT:1496104,PRODUCT:1495998	e293__e293_r						Positive influence
619513		16167	CFTR_network_edit					REACTANT:1496117,PRODUCT:1496273	e135__e135_r						Positive influence
619514		16167	CFTR_network_edit				PUBMED:20351096,PUBMED:15247260	REACTANT:1495968,PRODUCT:1495981	e165__e165_r						Positive influence
619515		16167	CFTR_network_edit					REACTANT:1496075,PRODUCT:1496265	e171__e171_r						Positive influence
619516		16167	CFTR_network_edit				PUBMED:32144307,PUBMED:25036637	REACTANT:1496252,PRODUCT:1496161	e79__e79_r						Positive influence
619517		16167	CFTR_network_edit				PUBMED:17462998,PUBMED:19398555,PUBMED:16131493	REACTANT:1496102,PRODUCT:1496154	e100__e100_r						Positive influence
619518		16167	CFTR_network_edit				PUBMED:22178883,PUBMED:28963502	REACTANT:1496201,PRODUCT:1496054	e290__e290_r						Positive influence
619519		16167	CFTR_network_edit				PUBMED:16818491,PUBMED:24915113	REACTANT:1496152,PRODUCT:1496055	e250__e250_r						Negative influence
619520		16167	CFTR_network_edit				PUBMED:11865034,PUBMED:12209004,PUBMED:9384384,PUBMED:9724814	REACTANT:1496076,PRODUCT:1496242	e111__e111_r						Positive influence
619521		16167	CFTR_network_edit				PUBMED:28189267,PUBMED:22768251	REACTANT:1496269,PRODUCT:1496301	e69__e69_r						Positive influence
619522		16167	CFTR_network_edit					REACTANT:1496281,PRODUCT:1496301	e17__e17_r						Positive influence
619523		16167	CFTR_network_edit				PUBMED:19019984,PUBMED:15684029,PUBMED:11807091	REACTANT:1496292,PRODUCT:1496065	e23__e23_r						Positive influence
619524		16167	CFTR_network_edit				PUBMED:11051556,PUBMED:23148778,PUBMED:15766278	REACTANT:1496018,PRODUCT:1496055	e122__e122_r						Positive influence
619525		16167	CFTR_network_edit				PUBMED:20595578,PUBMED:17110338,PUBMED:20089831	REACTANT:1496138,PRODUCT:1496281	e11__e11_r						Positive influence
619526		16167	CFTR_network_edit				PUBMED:19889841,PUBMED:16129695,PUBMED:23148778	REACTANT:1496261,PRODUCT:1496215	e125__e125_r						Positive influence
619527		16167	CFTR_network_edit				PUBMED:20130090,PUBMED:23818989	REACTANT:1495974,PRODUCT:1496116	e149__e149_r						Positive influence
619528		16167	CFTR_network_edit					REACTANT:1496054,PRODUCT:1496234	e255__e255_r						Positive influence
619529		16167	CFTR_network_edit				PUBMED:32123855	REACTANT:1496262,PRODUCT:1496215	e132__e132_r						Negative influence
619530		16167	CFTR_network_edit					REACTANT:1496071,PRODUCT:1496143	e226__e226_r						Positive influence
619531		16167	CFTR_network_edit					REACTANT:1496235,PRODUCT:1496291	e2__e2_r						Positive influence
619532		16167	CFTR_network_edit				PUBMED:21150129,PUBMED:21148293	REACTANT:1496015,PRODUCT:1496289	e241__e241_r						Positive influence
619533		16167	CFTR_network_edit					REACTANT:1496001,PRODUCT:1496087	e215__e215_r						Positive influence
619534		16167	CFTR_network_edit				PUBMED:15215316	REACTANT:1495975,PRODUCT:1496284	e278__e278_r						Negative influence
619535		16167	CFTR_network_edit				PUBMED:12504007,PUBMED:12604615,PUBMED:15584899,PUBMED:15039704	REACTANT:1496138,PRODUCT:1496039	e10__e10_r						Positive influence
619536		16167	CFTR_network_edit				PUBMED:15371428	REACTANT:1495960,PRODUCT:1496306	e56__e56_r						Positive influence
619537		16167	CFTR_network_edit				PUBMED:26627832,PUBMED:23155000	REACTANT:1496259,PRODUCT:1496301	e67__e67_r						Positive influence
619538		16167	CFTR_network_edit				PUBMED:9792704,PUBMED:26618866,PUBMED:19019984,PUBMED:18555783,PUBMED:17110338,PUBMED:23248597	REACTANT:1496256,PRODUCT:1496054	e284__e284_r						Positive influence
619539		16167	CFTR_network_edit				PUBMED:16186509,PUBMED:16186510	REACTANT:1496084,PRODUCT:1496189	e53__e53_r						Positive influence
619540		16167	CFTR_network_edit				PUBMED:12039948,PUBMED:19098309	REACTANT:1496106,PRODUCT:1495993	e43__e43_r						Positive influence
619541		16167	CFTR_network_edit				PUBMED:18555783	REACTANT:1496271,PRODUCT:1496189	e36__e36_r						Positive influence
619542		16167	CFTR_network_edit				PUBMED:20203293	REACTANT:1496257,PRODUCT:1496096	e302__e302_r						Positive influence
619543		16167	CFTR_network_edit				PUBMED:15611333,PUBMED:15215316,PUBMED:23990462,PUBMED:31408507,PUBMED:11146634	REACTANT:1495980,PRODUCT:1495993	e48__e48_r						Positive influence
619544		16167	CFTR_network_edit				PUBMED:18597485,PUBMED:19910675,PUBMED:21930781	REACTANT:1496049,PRODUCT:1496114	e281__e281_r						Positive influence
619545		16167	CFTR_network_edit				PUBMED:26627832,PUBMED:23155000	REACTANT:1496203,PRODUCT:1496281	e66__e66_r						Positive influence
619546		16167	CFTR_network_edit				PUBMED:12847084,PUBMED:15371428	REACTANT:1496132,PRODUCT:1496306	e55__e55_r						Positive influence
619547		16167	CFTR_network_edit				PUBMED:28963502,PUBMED:30761000	REACTANT:1496288,PRODUCT:1496201	e272__e272_r						Positive influence
619548		16167	CFTR_network_edit					REACTANT:1496266,PRODUCT:1496307	e217__e217_r						Positive influence
619549		16167	CFTR_network_edit				PUBMED:19889841,PUBMED:10893422,PUBMED:23148778	REACTANT:1496261,PRODUCT:1496227	e126__e126_r						Positive influence
619550		16167	CFTR_network_edit					REACTANT:1496301,PRODUCT:1496235	e1__e1_r						Positive influence
619551		16167	CFTR_network_edit					REACTANT:1496141,PRODUCT:1496250	e265__e265_r						Positive influence
619552		16167	CFTR_network_edit					REACTANT:1496172,PRODUCT:1496281	e264__e264_r						Positive influence
619553		16167	CFTR_network_edit				PUBMED:22085931,PUBMED:10075921	REACTANT:1496105,PRODUCT:1496161	e7__e7_r						Positive influence
619554		16167	CFTR_network_edit					REACTANT:1496211,PRODUCT:1496238	e26__e26_r						Positive influence
619555		16167	CFTR_network_edit				PUBMED:16954204,PUBMED:17360537	REACTANT:1496128,PRODUCT:1496189	e232__e232_r						Positive influence
619556		16167	CFTR_network_edit				PUBMED:26618866	REACTANT:1496207,PRODUCT:1496291	e14__e14_r						Positive influence
619557		16167	CFTR_network_edit				PUBMED:23636454	REACTANT:1496101,PRODUCT:1496099	e139__e139_r						Positive influence
619558		16167	CFTR_network_edit				PUBMED:27206858,PUBMED:32573649	REACTANT:1495959,PRODUCT:1496242	e251__e251_r						Positive influence
619559		16167	CFTR_network_edit				PUBMED:11384996,PUBMED:20130090,PUBMED:23818989	REACTANT:1496206,PRODUCT:1496285	e233__e233_r						Positive influence
619560		16167	CFTR_network_edit				PUBMED:26618866,PUBMED:18255040	REACTANT:1496186,PRODUCT:1496071	e221__e221_r						Positive influence
