Id	Description	Map id	Map name	Symbol	Abbreviation	Synonyms	References	Elements	Reaction external id	Mechanical Confidence Score	Lower Bound	Upper Bound	Gene Protein Reaction	Subsystem	Reaction type
619397		16166	F508del_network_edit				PUBMED:28794469,PUBMED:29924966	REACTANT:1495828,PRODUCT:1495937	e21__e21_r						Positive influence
619398		16166	F508del_network_edit				PUBMED:26618866,PUBMED:18216283	REACTANT:1495855,PRODUCT:1495937	e13__e13_r						Positive influence
619399		16166	F508del_network_edit				PUBMED:30485852	REACTANT:1495921,PRODUCT:1495865	e54__e54_r						Positive influence
619400		16166	F508del_network_edit					REACTANT:1495879,PRODUCT:1495940	e99__e99_r						Positive influence
619401		16166	F508del_network_edit				PUBMED:29555962	REACTANT:1495843,PRODUCT:1495918	e30__e30_r						Positive influence
619402		16166	F508del_network_edit				PUBMED:30066085,PUBMED:29503157	REACTANT:1495915,PRODUCT:1495818	e68__e68_r						Positive influence
619403		16166	F508del_network_edit				PUBMED:28794469,PUBMED:29924966	REACTANT:1495810,PRODUCT:1495886	e92__e92_r						Positive influence
619404		16166	F508del_network_edit					REACTANT:1495865,PRODUCT:1495869	e11__e11_r						Positive influence
619405		16166	F508del_network_edit				PUBMED:29555962	REACTANT:1495843,PRODUCT:1495934	e31__e31_r						Positive influence
619406		16166	F508del_network_edit				PUBMED:18555783	REACTANT:1495844,PRODUCT:1495828	e19__e19_r						Positive influence
619407		16166	F508del_network_edit				PUBMED:20595578,PUBMED:25879443	REACTANT:1495930,PRODUCT:1495948	e50__e50_r						Positive influence
619408		16166	F508del_network_edit					REACTANT:1495937,PRODUCT:1495876	e33__e33_r						Positive influence
619409		16166	F508del_network_edit				PUBMED:17272822,PUBMED:18556464,PUBMED:10982807	REACTANT:1495862,PRODUCT:1495865	e5__e5_r						Positive influence
619410		16166	F508del_network_edit				PUBMED:29503157	REACTANT:1495856,PRODUCT:1495912	e65__e65_r						Positive influence
619411		16166	F508del_network_edit				PUBMED:12847084	REACTANT:1495929,PRODUCT:1495936	e27__e27_r						Positive influence
619412		16166	F508del_network_edit				PUBMED:20595578,PUBMED:17110338	REACTANT:1495909,PRODUCT:1495818	e64__e64_r						Positive influence
619413		16166	F508del_network_edit				PUBMED:28855508,PUBMED:29924966	REACTANT:1495907,PRODUCT:1495912	e60__e60_r						Positive influence
619414		16166	F508del_network_edit					REACTANT:1495876,PRODUCT:1495924	e111__e111_r						Positive influence
619415		16166	F508del_network_edit				PUBMED:27756846,PUBMED:11483504	REACTANT:1495922,PRODUCT:1495820	e34__e34_r						Positive influence
619416		16166	F508del_network_edit				PUBMED:15007060	REACTANT:1495861,PRODUCT:1495948	e48__e48_r						Positive influence
619417		16166	F508del_network_edit				PUBMED:18285607,PUBMED:26618866,PUBMED:23155000,PUBMED:29924966	REACTANT:1495885,PRODUCT:1495879	e97__e97_r						Positive influence
619418		16166	F508del_network_edit				PUBMED:26618866,PUBMED:30066085	REACTANT:1495946,PRODUCT:1495869	e25__e25_r						Positive influence
619419		16166	F508del_network_edit					REACTANT:1495883,PRODUCT:1495887	e71__e71_r						Negative influence
619420		16166	F508del_network_edit				PUBMED:20595578,PUBMED:25990958	REACTANT:1495935,PRODUCT:1495818	e62__e62_r						Positive influence
619421		16166	F508del_network_edit				PUBMED:26618866,PUBMED:22474283	REACTANT:1495933,PRODUCT:1495865	e9__e9_r						Positive influence
619422		16166	F508del_network_edit				PUBMED:19275885	REACTANT:1495923,PRODUCT:1495936	e24__e24_r						Positive influence
619423		16166	F508del_network_edit				PUBMED:20534503,PUBMED:30066085	REACTANT:1495932,PRODUCT:1495865	e3__e3_r						Positive influence
