Id	Description	Map id	Map name	Symbol	Abbreviation	Synonyms	References	Name	Type	Complex id	Complex name	Compartment/Pathway id	Compartment/Pathway name	Charge	Full name	Formula	Former symbols	Linked submap id	Element external id	Plasma.Membrane
1496310		16167	CFTR_network_edit					molecular overview	Pathway										art0	TRUE
1496227		16167	CFTR_network_edit					F-ACTIN	Complex			1496310	molecular overview						csa19	TRUE
1496042		16167	CFTR_network_edit					AMPK	Complex			1496310	molecular overview						csa20	TRUE
1496036		16167	CFTR_network_edit					PLC beta 1/2	Complex			1496310	molecular overview						csa21	TRUE
1496164		16167	CFTR_network_edit					PP2A	Complex			1496310	molecular overview						csa22	TRUE
1496055		16167	CFTR_network_edit					F-ACTIN	Complex			1496310	molecular overview						csa23	TRUE
1496018		16167	CFTR_network_edit					Arp2/3	Complex			1496310	molecular overview						csa24	TRUE
1495975		16167	CFTR_network_edit					ENaC	Complex			1496310	molecular overview						csa25	TRUE
1496049		16167	CFTR_network_edit					CK2	Complex			1496310	molecular overview						csa26	TRUE
1496058		16167	CFTR_network_edit					HSP90	Complex			1496310	molecular overview						csa27	FALSE
1496028		16167	CFTR_network_edit					SRP	Complex			1496310	molecular overview						csa29	FALSE
1496245		16167	CFTR_network_edit					TRAM	Complex			1496310	molecular overview						csa30	FALSE
1496080		16167	CFTR_network_edit					SRP receptor	Complex			1496310	molecular overview						csa31	FALSE
1495994		16167	CFTR_network_edit					SEC13/31	Complex			1496310	molecular overview						n1	FALSE
1496138		16167	CFTR_network_edit	AHSA1		"Aha1,hAha1,p38"	"ENSEMBL:ENSG00000100591,HGNC:1189,HGNC_SYMBOL:AHSA1,REFSEQ:NM_012111,UNIPROT:O95433,ENTREZ:10598"	AHSA1	Protein			1496310	molecular overview		activator of HSP90 ATPase activity 1		C14orf3		n10	FALSE
1496074		16167	CFTR_network_edit	STXBP1		"MUNC18-1,UNC18,hUNC18,rbSec1"	"UNIPROT:P61764,HGNC:11444,HGNC_SYMBOL:STXBP1,REFSEQ:NM_003165,ENSEMBL:ENSG00000136854,ENTREZ:6812"	STXBP1	Protein			1496310	molecular overview		syntaxin binding protein 1				n100	TRUE
1496113		16167	CFTR_network_edit	CFTR		"ABC35,CFTR/MRP,MRP7,TNR-CFTR,dJ760C5.1"	"UNIPROT:P13569,ENTREZ:1080,REFSEQ:NM_000492,HGNC:1884,HGNC_SYMBOL:CFTR,ENSEMBL:ENSG00000001626"	CFTR	Protein			1496310	molecular overview		CF transmembrane conductance regulator		"ABCC7,CF"		n101	TRUE
1496261		16167	CFTR_network_edit	EZR			"REFSEQ:NM_003379,HGNC_SYMBOL:EZR,ENTREZ:7430,UNIPROT:P15311,ENSEMBL:ENSG00000092820,HGNC:12691"	EZR	Protein			1496310	molecular overview		ezrin		VIL2		n102	TRUE
1496215		16167	CFTR_network_edit	SLC9A3R1		"EBP50,NHERF,NHERF1"	"HGNC_SYMBOL:SLC9A3R1,UNIPROT:O14745,REFSEQ:NM_004252,HGNC:11075,ENTREZ:9368,ENSEMBL:ENSG00000109062"	SLC9A3R1	Protein			1496310	molecular overview		SLC9A3 regulator 1				n103	TRUE
1496262		16167	CFTR_network_edit	PRKACA		PKACa	"REFSEQ:NM_002730,HGNC:9380,UNIPROT:P17612,ENSEMBL:ENSG00000072062,HGNC_SYMBOL:PRKACA,ENTREZ:5566"	PRKACA	Protein			1496310	molecular overview		protein kinase cAMP-activated catalytic subunit alpha				n104	TRUE
1496035		16167	CFTR_network_edit			"CHLORIDE ION,Chloride,Chloride,Chloride ion,Chloride(1-),Chlorine anion,Cl(-),Cl-,chloride"	CHEBI:CHEBI:17996	Cl-	Simple molecule			1496310	molecular overview		chloride				n105	TRUE
1496275		16167	CFTR_network_edit			"CHLORIDE ION,Chloride,Chloride,Chloride ion,Chloride(1-),Chlorine anion,Cl(-),Cl-,chloride"	CHEBI:CHEBI:17996	Cl-	Simple molecule			1496310	molecular overview		chloride				n106	TRUE
1496273		16167	CFTR_network_edit	ADRB2		"ADRBR,B2AR,BAR"	"HGNC_SYMBOL:ADRB2,UNIPROT:P07550,REFSEQ:NM_000024,ENTREZ:154,ENSEMBL:ENSG00000169252,HGNC:286"	ADRB2	Protein			1496310	molecular overview		adrenoceptor beta 2		ADRB2R		n107	TRUE
1496117		16167	CFTR_network_edit					agonist	Protein			1496310	molecular overview						n108	TRUE
1496264		16167	CFTR_network_edit	FKBP8		"FKBP38,FKBPr38"	"HGNC_SYMBOL:FKBP8,ENTREZ:23770,HGNC:3724,ENSEMBL:ENSG00000105701,REFSEQ:NM_012181,UNIPROT:Q14318"	FKBP8	Protein			1496310	molecular overview		FKBP prolyl isomerase 8				n11	FALSE
1496296		16167	CFTR_network_edit			"1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-4',5'-bisphosphate),1-Phosphatidyl-1D-myo-inositol 4,5-bisphosphate,1-Phosphatidyl-1D-myo-inositol 4,5-bisphosphate,1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate,1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate,PIP2,PIPP,Phosphatidyl-myo-inositol 4,5-bisphosphate,Phosphatidyl-myo-inositol 4,5-bisphosphate,Phosphatidylinositol-4,5-bisphosphate,Phosphatidylinositol-4,5-bisphosphate,PtsIns(4,5)P2,PtsIns-4,5-P2"	CHEBI:CHEBI:18348	PIP2	Simple molecule			1496310	molecular overview		"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate"				n110	TRUE
1496101		16167	CFTR_network_edit	RACK1		"Gnb2-rs1,H12.3"	"HGNC:4399,ENSEMBL:ENSG00000204628,UNIPROT:P63244,REFSEQ:NM_006098,HGNC_SYMBOL:RACK1,ENTREZ:10399"	RACK1	Protein			1496310	molecular overview		receptor for activated C kinase 1		GNB2L1		n111	TRUE
