Id	Description	Map id	Map name	Symbol	Abbreviation	Synonyms	References	Name	Type	Complex id	Complex name	Compartment/Pathway id	Compartment/Pathway name	Charge	Full name	Formula	Former symbols	Linked submap id	Element external id	Plasma Membrane
1495799		16166	F508del_network_edit	SEC16A		"Sec16L,p250"	"ENTREZ:9919,UNIPROT:O15027,HGNC:29006,HGNC_SYMBOL:SEC16A,REFSEQ:NM_014866,ENSEMBL:ENSG00000148396"	SEC16A	Protein			1495953	molecular overview		"SEC16 homolog A, endoplasmic reticulum export factor"		KIAA0310		n14	FALSE
1495800		16166	F508del_network_edit	STUB1		"CHIP,HSPABP2,NY-CO-7,SDCCAG7,UBOX1"	"ENSEMBL:ENSG00000103266,HGNC_SYMBOL:STUB1,HGNC:11427,REFSEQ:NM_005861,ENTREZ:10273,UNIPROT:Q9UNE7"	STUB1	Protein			1495953	molecular overview		STIP1 homology and U-box containing protein 1				n80	FALSE
1495801		16166	F508del_network_edit					SEC23/24	Complex			1495953	molecular overview						n12	FALSE
1495802		16166	F508del_network_edit					SEC23	Complex	1495801	SEC23/24	1495953	molecular overview						SbmlSpeciesExporter_134	FALSE
1495803		16166	F508del_network_edit	SEC23A			"ENTREZ:10484,HGNC:10701,ENSEMBL:ENSG00000100934,REFSEQ:NM_006364,HGNC_SYMBOL:SEC23A,UNIPROT:Q15436"	SEC23A	Protein	1495802	SEC23	1495953	molecular overview		"SEC23 homolog A, COPII coat complex component"				SbmlSpeciesExporter_107	FALSE
1495804		16166	F508del_network_edit	SEC23B		"CDA-II,CDAII,HEMPAS"	"HGNC:10702,ENTREZ:10483,REFSEQ:NM_001172745,ENSEMBL:ENSG00000101310,HGNC_SYMBOL:SEC23B,UNIPROT:Q15437"	SEC23B	Protein	1495802	SEC23	1495953	molecular overview		"SEC23 homolog B, COPII coat complex component"		CDAN2		SbmlSpeciesExporter_145	FALSE
1495805		16166	F508del_network_edit					SEC24	Complex	1495801	SEC23/24	1495953	molecular overview						SbmlSpeciesExporter_31	FALSE
1495806		16166	F508del_network_edit	SEC24B			"UNIPROT:O95487,HGNC_SYMBOL:SEC24B,ENTREZ:10427,ENSEMBL:ENSG00000138802,REFSEQ:NM_001042734,HGNC:10704"	SEC24B	Protein	1495805	SEC24	1495953	molecular overview		"SEC24 homolog B, COPII coat complex component"				SbmlSpeciesExporter_40	FALSE
1495807		16166	F508del_network_edit	SEC24A			"HGNC:10703,UNIPROT:O95486,REFSEQ:NM_021982,HGNC_SYMBOL:SEC24A,ENTREZ:10802,ENSEMBL:ENSG00000113615"	SEC24A	Protein	1495805	SEC24	1495953	molecular overview		"SEC24 homolog A, COPII coat complex component"				SbmlSpeciesExporter_167	FALSE
1495808		16166	F508del_network_edit	SEC24C		KIAA0079	"ENSEMBL:ENSG00000176986,HGNC_SYMBOL:SEC24C,ENTREZ:9632,UNIPROT:P53992,HGNC:10705,REFSEQ:NM_004922"	SEC24C	Protein	1495805	SEC24	1495953	molecular overview		"SEC24 homolog C, COPII coat complex component"				SbmlSpeciesExporter_45	FALSE
