Symbol	C-type lectin receptor signaling pathway	Cytokine-cytokine receptor interaction	Cytosolic DNA-sensing pathway	Estrogen signaling pathway	IL-17 signaling pathway	NF-kappa B signaling pathway	NOD-like receptor signaling pathway	Osteoclast differentiation	Regulation of actin cytoskeleton	RIG-I-like receptor signaling pathway	T cell receptor signaling pathway	Th17 cell differentiation	TNF signaling pathway	Toll-like receptor signaling pathway	Viral protein interaction with cytokine and cytokine receptor	sum	pathway	CFTR_interactor	dorothea_tf	receptor_ligand	receptor
ACTN4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
ADCY1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE
ADORA2B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE
AIM2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
AKT3	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	6	NA	NA	FALSE	FALSE	FALSE
APC2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
ARAF	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
ARHGAP35	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
ARHGEF12	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
ARHGEF6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
ARHGEF7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
ARPC5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
ATG12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
ATG16L1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
ATG5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
BAG4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE
BAIAP2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
BCL10	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
BCL2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
BCL2L1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
BCL3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE
BIRC2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	3	NA	NA	FALSE	FALSE	FALSE
BLNK	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE
BRCC3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
BTK	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
CALML6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
CAMK4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE
CAPN1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE
CAPNS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE
CARD10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	NF-kappa B signaling pathway	NA	FALSE	FALSE	FALSE
CARD11	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
CARD16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
CARD6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
CARD8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
CARD9	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
CASP1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
CASP10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE
CASP12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
CASP3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	NA	NA	FALSE	FALSE	FALSE
CASP7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE
CASP8	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	4	NA	NA	FALSE	FALSE	FALSE
CAV1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE
CAV2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE
CBLB	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
CD14	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	NA	NA	FALSE	FALSE	TRUE
CD247	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE
CD28	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE
CD3E	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE
CD4	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	3	NA	NA	FALSE	FALSE	FALSE
CD40	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	3	NA	NA	FALSE	FALSE	TRUE
CD40LG	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE
CDC42	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
CEBPB	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	NA	NA	TRUE	FALSE	FALSE
CFL1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
CFLAR	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	NA	NA	FALSE	FALSE	FALSE
CFTR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE
CHRM1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	TRUE
CHUK	1	0	1	0	0	1	1	1	0	0	1	1	1	1	0	9	NA	NA	FALSE	FALSE	FALSE
