"Ensembl_id"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffexpressed"	"diffexpressed2"	"Symbol"
"ENSG00000000003"	-0.367510286518126	4.96275209809216	-2.59501935756559	0.0285827364332162	0.340645669591941	-3.64271142045692	"NO"	"NO"	"TSPAN6"
"ENSG00000000419"	-0.0489725945294168	5.81130334529223	-0.254015315623823	0.805095534057787	0.930260633469333	-6.34019702713408	"NO"	"NO"	"DPM1"
"ENSG00000000457"	0.130344939874461	3.5020884779694	0.651118529024956	0.530967676427265	0.797710372093922	-5.94336313280769	"NO"	"NO"	"SCYL3"
"ENSG00000000460"	-0.137761196382429	4.00850403408838	-0.553344735993263	0.593277985957182	0.832751348985591	-6.06851144773668	"NO"	"NO"	"C1orf112"
"ENSG00000000971"	0.350812135776547	5.45949751791241	0.790363666049348	0.449298185697396	0.751794147639665	-6.02936586207869	"NO"	"NO"	"CFH"
"ENSG00000001036"	-0.177013296771158	5.3672219027516	-1.02729519579966	0.330651181492636	0.67403752753856	-5.81731388028137	"NO"	"NO"	"FUCA2"
"ENSG00000001084"	0.0705248546508557	6.48695363238924	0.325381346651882	0.752204001150376	0.910411395872348	-6.33126230276184	"NO"	"NO"	"GCLC"
"ENSG00000001167"	-0.0022651946987482	5.8209994917195	-0.0142295855854604	0.988952020539943	0.997518825984676	-6.3748458813607	"NO"	"NO"	"NFYA"
"ENSG00000001460"	0.094863367829916	4.67044680150317	0.582473579485936	0.574307662153439	0.822394042986692	-6.11762475027416	"NO"	"NO"	"STPG1"
"ENSG00000001461"	0.149299331847768	6.8410518156186	0.975450034293534	0.354399569508964	0.690515182698009	-5.90118975598106	"NO"	"NO"	"NIPAL3"
"ENSG00000001497"	-0.56475925051744	5.9654700746436	-3.0180949942492	0.0142462334254099	0.318158318431247	-3.01284614840416	"NO"	"NO"	"LAS1L"
"ENSG00000001561"	-0.157592143752132	1.26086065385576	-0.368311949813087	0.72101110629882	0.897224279911399	-5.8438731143152	"NO"	"NO"	"ENPP4"
"ENSG00000001617"	-0.00714858151296305	7.64050184710089	-0.0327612203986894	0.974567984945012	0.993530749794146	-6.37956766011919	"NO"	"NO"	"SEMA3F"
"ENSG00000001626"	0.46902321625149	-1.89308404483431	1.18169689856681	0.267103199772731	0.622527953993932	-4.98250925064917	"NO"	"NO"	"CFTR"
"ENSG00000001629"	0.430196365323495	6.06539967670382	2.18075107848361	0.0565999990539854	0.394708480740267	-4.32936662302234	"NO"	"NO"	"ANKIB1"
"ENSG00000001630"	-0.125716984105511	1.6181142541285	-0.514607582464445	0.619016709259752	0.846386867381465	-5.81360715365149	"NO"	"NO"	"CYP51A1"
"ENSG00000001631"	0.259070899346425	3.22581474434621	1.09366602710085	0.302034465004838	0.650713143981011	-5.5333924430073	"NO"	"NO"	"KRIT1"
"ENSG00000002016"	0.0107664878970311	2.49000841397343	0.0512652636807604	0.960215022829424	0.989196234590251	-6.03978622631263	"NO"	"NO"	"RAD52"
