"Gene_id"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffexpressed"	"diffexpressed2"	"Symbol"
"1294_at"	-0.154829800000003	8.1820907	-1.003189897924	0.338482410974597	0.625894551761234	-5.73434642215844	"NO"	"NO"	"UBE1L"
"1552257_a_at"	0.0260738000000025	8.5510213	0.171342900509748	0.867233971751468	0.947277073629184	-6.22482023981021	"NO"	"NO"	"KIAA0153"
"1552261_at"	0.960756999999997	7.9503119	2.60063630616454	0.0256492595760517	0.178993804194268	-3.52022569788045	"NO"	"NO"	"WFDC2"
"1552266_at"	-0.5060236	5.1324804	-3.00218249062659	0.0127199823051289	0.132935716741903	-2.86217155351071	"NO"	"NO"	"ADAM32"
"1552269_at"	-1.7192914	7.0353725	-3.71789325489708	0.0037149232703334	0.0851420147034779	-1.69342604714915	"NO"	"NO"	"LOC128153"
"1552272_a_at"	-0.0554838000000011	4.9359785	-0.485403914816145	0.637428021131468	0.833576677492844	-6.11742159738195	"NO"	"NO"	"MGC24975"
"1552281_at"	0.044204399999999	6.8650222	0.575523094810401	0.577146744970122	0.799718385460552	-6.0683669371447	"NO"	"NO"	"SLC39A5"
"1552283_s_at"	0.130528200000001	6.7354657	0.220344300759195	0.829857743555956	0.929910212990865	-6.2147339928142	"NO"	"NO"	"ZDHHC11"
"1552286_at"	-0.153538599999999	6.1316161	-1.29269272453202	0.224028122296983	0.511481351480659	-5.42499509206453	"NO"	"NO"	"ATP6V1E2"
"1552291_at"	0.00679080000000187	7.4004114	0.0703997701991984	0.94520750925086	0.979259095919586	-6.23767166205069	"NO"	"NO"	"FLJ20522"
"1552296_at"	-1.52689	7.2572114	-2.20046784554994	0.0513378414897902	0.247312168559296	-4.15895767834069	"NO"	"NO"	"VMD2L2"
"1552299_at"	-0.574535199999999	6.862171	-2.29694940616177	0.0434797617984361	0.227344644325353	-4.00755407558091	"NO"	"NO"	"C6orf199"
"1552301_a_at"	-0.0326154000000001	4.4686093	-0.264274442674248	0.796718925318342	0.915739754584355	-6.2035685994746	"NO"	"NO"	"CORO6"
"1552310_at"	-0.106012400000003	8.7340708	-1.11348902963036	0.290509227608707	0.582027868794929	-5.62359824232909	"NO"	"NO"	"MGC29937"
"1552312_a_at"	0.178285600000001	5.3140642	0.646895654243681	0.531681872628986	0.772147098893659	-6.02399637813375	"NO"	"NO"	"MFAP3"
"1552318_at"	0.166994599999999	4.8440399	0.520485365293132	0.613597888880799	0.819675308062717	-6.09926334013975	"NO"	"NO"	"GIMAP1"
"1552330_at"	0.0727431999999997	5.912511	0.366722087079769	0.721159361256589	0.879615177972248	-6.1698088773359	"NO"	"NO"	"MGC16385"
"1552332_at"	-0.122439400000001	6.8991385	-0.925639379702267	0.375560893536924	0.657317550567604	-5.80654642981969	"NO"	"NO"	"HRIHFB2122"
"1552359_at"	-0.396846200000001	4.1695791	-1.46141672757412	0.173373815062601	0.452177800194245	-5.21906928312419	"NO"	"NO"	"FLJ25692"
"1552362_a_at"	0.2769642	5.5944377	1.95476099990608	0.0779385557923048	0.30675338750746	-4.5338437161137	"NO"	"NO"	"LEAP-2"
"1552365_at"	0.016085799999999	10.1179249	0.0863627792939512	0.932814096686124	0.974944587813555	-6.23635234082275	"NO"	"NO"	"SCIN"
"1552370_at"	-0.130718800000002	7.565091	-0.444353268435888	0.665868422251244	0.850025373831319	-6.13713170850641	"NO"	"NO"	"LOC132321"
"1552375_at"	0.1058918	4.7888867	1.06987407269775	0.308817693619612	0.599341239115006	-5.66848931159959	"NO"	"NO"	"ZNF333"
"1552381_at"	-0.0546147999999991	3.0584266	-0.465935212100878	0.650843499500793	0.840861218490158	-6.12697714693557	"NO"	"NO"	"SRrp35"
"1552390_a_at"	-0.892267199999997	10.1347464	-3.46632809983226	0.00569851584832567	0.0982384537636556	-2.10068708934502	"NO"	"NO"	"FLJ39553"
"1552399_a_at"	-0.0790362	3.8314385	-0.819636347354738	0.430760879373485	0.703287998818865	-5.89723400343479	"NO"	"NO"	"BRF1"
"1552423_at"	0.1719626	6.0605095	1.8263712331372	0.0965292686689929	0.341622073435883	-4.72212412196733	"NO"	"NO"	"ETV3"
"1552426_a_at"	-0.038713600000003	10.1721146	-0.260221070497927	0.799760134638476	0.916699942698838	-6.20468252919981	"NO"	"NO"	"BLP2"
"1552432_at"	-0.332787	6.8848987	-2.78776024219278	0.0184962997707167	0.15374210918293	-3.21461958878076	"NO"	"NO"	"FLJ35773"
"1552476_s_at"	-0.0944206000000003	6.3584553	-1.10294202612435	0.294858111819684	0.585956185680612	-5.63458281646655	"NO"	"NO"	"PLCD3"
"1552482_at"	0.897504799999999	5.0692804	3.19182962544325	0.00914687159266074	0.117071834857451	-2.55014058936969	"NO"	"NO"	"RAPH1"
"1552490_at"	-0.107089999999999	4.7909624	-1.03278920689324	0.32506358236677	0.613079776224427	-5.70553580662991	"NO"	"NO"	"LACE1"
"1552491_at"	-0.0270512000000007	4.7392434	-0.319903979201061	0.755359585582916	0.897327503573751	-6.18657019199501	"NO"	"NO"	"IDI2"
"1552494_at"	-0.109866800000001	4.4012652	-1.13148773245852	0.283202504684338	0.574954423132944	-5.60466533757889	"NO"	"NO"	"TBN"
"1552497_a_at"	-0.2042404	5.8605892	-1.58354888721605	0.143130814587137	0.41200526426839	-5.05991770407895	"NO"	"NO"	"SLAMF6"
"1552501_a_at"	-0.137979400000001	5.9718761	-1.43660950116394	0.180148817422532	0.461251368231935	-5.25040323598122	"NO"	"NO"	"GPBAR1"
"1552508_at"	-0.2582596	4.1643444	-1.51953674593732	0.158353015907017	0.433128001164753	-5.14432055280945	"NO"	"NO"	"KCNE4"
"1552514_at"	0.0996082000000005	3.5084569	0.802929092773959	0.43993495737466	0.709407806536333	-5.9106543032174	"NO"	"NO"	"MGC26816"
"1552523_a_at"	-0.601903600000002	5.7872846	-2.70450473934081	0.0213934285046612	0.164582399943798	-3.35092420291168	"NO"	"NO"	"TIGD4"
"1552538_a_at"	-1.1284242	5.1363013	-5.01636769604389	0.000461823996488769	0.0504592874003619	0.282322294539461	"NO"	"NO"	"C6orf102"
"1552546_a_at"	-0.187226	3.990325	-1.55588664090588	0.149544062161792	0.421426455073411	-5.09665096268509	"NO"	"NO"	"LETM2"
"1552584_at"	0.0672553999999996	6.2107863	0.270749476600648	0.791868138275411	0.913470139399055	-6.20175394141262	"NO"	"NO"	"IL12RB1"
"1552617_a_at"	0.0493075999999979	7.7873704	0.26073692094064	0.799372901494936	0.916429893631534	-6.20454170869008	"NO"	"NO"	"COP1"
"1552619_a_at"	0.359084600000001	5.6341137	1.00904983224994	0.335793796471003	0.622918693944118	-5.72869671741572	"NO"	"NO"	"ANLN"
"1552623_at"	0.0765210000000005	6.2449289	0.897183507655022	0.389866836309296	0.669986492261203	-5.83181575715412	"NO"	"NO"	"HSH2D"
"1552632_a_at"	-0.576728000000001	5.734163	-2.46503684651807	0.0324875681670124	0.198909814760811	-3.73951082523189	"NO"	"NO"	"KIAA1001"
"1552646_at"	-0.0766297999999992	5.4067557	-0.927732119129325	0.374523653361739	0.65638354839588	-5.80466175239541	"NO"	"NO"	"IL11RA"
"1552652_at"	0.122916399999999	5.1922606	1.4805505527074	0.168298620020442	0.445040493999743	-5.19466541110302	"NO"	"NO"	"HPS4"
"1552664_at"	-0.0184175999999994	6.2803166	-0.108939660378266	0.915318510619479	0.968073399838101	-6.23402844907579	"NO"	"NO"	"FLCN"
"1552670_a_at"	0.3046902	4.9959773	2.32559076772883	0.0413799404162582	0.222235010334057	-3.96223562026538	"NO"	"NO"	"PPP1R3B"
"1552673_at"	0.1400978	3.0929089	1.50109353265457	0.162992669690491	0.438484968449693	-5.16823977299866	"NO"	"NO"	"RFXDC1"
"1552675_at"	-0.0498125999999997	3.0290133	-0.604178702567263	0.558641357726918	0.789008222572788	-6.05113077760005	"NO"	"NO"	"DNAJB7"
"1552689_at"	-0.120645	5.0560163	-1.14372454639978	0.278317052781059	0.571196343240998	-5.59165959086854	"NO"	"NO"	"CASKIN1"
"1552698_at"	-0.394373600000001	6.3238576	-3.08117387132784	0.0110851542746526	0.126112603503108	-2.73215312630186	"NO"	"NO"	"MGC16703"
"1552719_at"	0.9716496	5.8323758	2.96577792296584	0.0135536692495329	0.135857010754361	-2.92208691382766	"NO"	"NO"	"H63"
"1552731_at"	-0.187764600000001	3.1732063	-2.48831892290422	0.0311975125387146	0.196010208959468	-3.70202755017116	"NO"	"NO"	"STARS"
"1552752_a_at"	-0.0407355999999996	3.4727436	-0.654834791119591	0.526755832525223	0.769368407406861	-6.01876516197667	"NO"	"NO"	"IGSF4D"
"1552761_at"	-0.413650000000001	7.0824548	-3.14705674669696	0.00988575588522426	0.120803972316928	-2.62375451697052	"NO"	"NO"	"SLC16A11"
"1552768_at"	0.0542750000000014	4.9088599	0.509308211352244	0.621141337239246	0.824268980091708	-6.10517930887776	"NO"	"NO"	"CAMKK1"
"1552798_a_at"	0.223823599999999	5.2155682	1.01035563988022	0.33519683166797	0.622311818851329	-5.72743410221882	"NO"	"NO"	"TLR4"
"1552800_at"	-0.0316349999999987	6.8421051	-0.373058624917709	0.716577450357386	0.877050642912479	-6.16736914471782	"NO"	"NO"	"WBSCR21"
"1552819_at"	0.0617797999999983	4.1631997	0.672673757749007	0.515785486063369	0.760959281683973	-6.00679751129494	"NO"	"NO"	"C21orf86"
"1552822_at"	0.270238799999999	3.5122892	1.59310012464526	0.140973326439907	0.409445762625615	-5.04714484258425	"NO"	"NO"	"FLJ20793"
"1552837_at"	-0.0349012000000006	2.8898616	-0.419440092425115	0.683405801292857	0.858923132620169	-6.14827731982724	"NO"	"NO"	"ICK"
"1552846_s_at"	0.105460200000001	6.4600221	1.05295563597161	0.316151374809471	0.605272292571232	-5.68551995010386	"NO"	"NO"	"MGC45806"
"1552854_a_at"	-0.0246516000000012	4.3549848	-0.285789001793206	0.780637258829404	0.908813187386669	-6.19737211665164	"NO"	"NO"	"FLJ32784"
"1552862_at"	-0.00994920000000032	4.411027	-0.104378719397717	0.918849456312653	0.969501983640378	-6.23454113670951	"NO"	"NO"	"FLJ35976"
"1552875_a_at"	0.452163	5.8746403	0.856840890962296	0.410793672364794	0.687308324948974	-5.86648500960837	"NO"	"NO"	"CD200R1"
"1552880_at"	-0.0952618000000007	3.1647387	-1.1198837069125	0.287896719147166	0.579107790895713	-5.61689863258274	"NO"	"NO"	"RGPR"
"1552910_at"	0.110749599999999	4.0678536	1.16128739013645	0.271420697259423	0.564476732334657	-5.57280589283379	"NO"	"NO"	"SIGLEC11"
"1552923_a_at"	-0.224438999999999	3.8036715	-2.93246203238146	0.0143649619973348	0.139273925010792	-2.97690368658315	"NO"	"NO"	"PITPNM2"
"1552925_at"	-0.1700406	3.9078337	-1.48156432742742	0.168033323968298	0.445040493999743	-5.19336675359276	"NO"	"NO"	"PCDH10"
"1552930_at"	-0.1992618	7.4110841	-1.08794400533352	0.301128333846412	0.591989762345179	-5.65006193576718	"NO"	"NO"	"MMEL2"
"1552937_s_at"	-0.349365799999999	5.4436535	-3.55331457405146	0.00491140790789899	0.0927737198917136	-1.95924911201075	"NO"	"NO"	"TREX1"
"1552950_at"	-1.6389918	7.6651085	-3.30212172324757	0.00755793299614691	0.108696809867109	-2.36909182825209	"NO"	"NO"	"C15orf26"
"1552960_at"	-0.0630846000000007	3.5469687	-0.622218182836053	0.547163570079003	0.781749400997467	-6.03988098599087	"NO"	"NO"	"LRRC15"
"1552980_at"	-0.0306401999999992	3.5603267	-0.36956453700846	0.719102567097636	0.878731215124335	-6.16871949010972	"NO"	"NO"	"HAS3"
"1552985_at"	-0.0743621999999995	3.8058691	-0.698672907181449	0.500043378777474	0.74998998791294	-5.98883038783947	"NO"	"NO"	"SLC30A8"
"1552995_at"	-0.107332	5.6150168	-1.06841710192617	0.309444128867974	0.59985612638774	-5.66996444565107	"NO"	"NO"	"IL27"
"1553003_at"	-0.1164096	3.619431	-1.0214771464992	0.330144327963337	0.618005744675465	-5.71662668150172	"NO"	"NO"	"PKHD1"
"1553021_s_at"	0.0939575999999995	3.8419054	0.975811996515337	0.35125392310561	0.636962065894479	-5.76038430241549	"NO"	"NO"	"BICD2"
"1553043_a_at"	0.847178199999997	7.3532139	3.0508894253489	0.0116851255340632	0.128092079523591	-2.7819986549819	"NO"	"NO"	"NKIR"
"1553045_at"	-0.0341592000000004	3.3247108	-0.458822113214684	0.655777942733607	0.843864396797144	-6.13037497338055	"NO"	"NO"	"WNT9A"
"1553082_at"	0.0587755999999997	5.0278236	0.837871469398707	0.420894440734427	0.695815095611786	-5.88231110535993	"NO"	"NO"	"CRYGN"
"1553099_at"	-0.0712545999999996	6.2102415	-0.401194302802276	0.696376251990006	0.865326187164371	-6.15604609950604	"NO"	"NO"	"TIGD1"
"1553103_at"	0.247309199999998	9.1060076	2.22351424813914	0.0493450338869953	0.242353888749928	-4.12297861298278	"NO"	"NO"	"NFX1"
"1553106_at"	0.140218	5.041389	0.728862896273319	0.482136120728853	0.738686012070992	-5.96719349676016	"NO"	"NO"	"FLJ37562"
"1553112_s_at"	-0.179961800000001	6.0693971	-0.943735774739942	0.366658969797492	0.649360552822648	-5.79013111578324	"NO"	"NO"	"CDK8"
"1553115_at"	-0.1079188	5.2776176	-1.57283481853495	0.145585519600349	0.415413141663052	-5.07419119234889	"NO"	"NO"	"NKD1"
"1553118_at"	-0.0333111999999991	6.731072	-0.325790243578276	0.751027459955962	0.895500060001755	-6.18458571380252	"NO"	"NO"	"CTMP"
"1553142_at"	-0.139865400000001	3.2591539	-1.44260062984679	0.178492220079274	0.45902552062948	-5.24286784430985	"NO"	"NO"	"FLJ38725"
"1553145_at"	0.353575599999999	5.2446442	1.22514768097531	0.24747541784651	0.537310945747413	-5.50243104569057	"NO"	"NO"	"FLJ39653"
"1553151_at"	0.00517540000000061	3.5176531	0.0417601302593825	0.967478821135577	0.987595041707547	-6.23936569570187	"NO"	"NO"	"ATP6V0D2"
"1553159_at"	-0.6213034	6.3070749	-1.59263253745982	0.141078276353244	0.409472448839762	-5.04777120449324	"NO"	"NO"	"DNAH11"
"1553162_x_at"	-0.347403000000002	6.7356715	-1.83424793699552	0.0952802244522753	0.339179363600444	-4.71074799368511	"NO"	"NO"	"LOC148137"
"1553163_at"	-0.224982600000001	5.7052247	-2.64887196895725	0.0235773404386379	0.171623162517198	-3.44172362674001	"NO"	"NO"	"ADPRHL1"
"1553166_at"	-0.139900000000001	5.5875864	-1.62975098722707	0.132958702221314	0.39753169665963	-4.99771489346924	"NO"	"NO"	"CDH24"
"1553168_at"	-0.0589293999999994	4.9486141	-0.661291393782371	0.522769483478792	0.766312149927219	-6.01446763531123	"NO"	"NO"	"GRIK5"
"1553177_at"	1.7676164	7.6496628	3.36042670066088	0.00683514981557069	0.104690687760444	-2.27360562218027	"NO"	"NO"	"EAT2"
"1553194_at"	-0.0419322000000002	3.3056993	-0.504903616711243	0.62412668212628	0.825772016782958	-6.10747712904696	"NO"	"NO"	"NEGR1"
"1553204_at"	0.0126369999999998	5.9416717	0.154818553401762	0.879920445198089	0.952726664792536	-6.22765599006959	"NO"	"NO"	"FLJ30313"
"1553209_at"	-0.202452399999999	4.1407992	-1.97713798047045	0.0750611448291805	0.300400875297626	-4.5004417504687	"NO"	"NO"	"FLJ14627"
"1553215_s_at"	-0.277133600000002	5.3734922	-2.82552119441381	0.0173150670030604	0.149286859991454	-3.15266573794478	"NO"	"NO"	"CCDC7"
"1553220_at"	0.2387348	5.955925	1.3485701511135	0.206037085415441	0.490271601225048	-5.35870973676235	"NO"	"NO"	"ALS2CR13"
"1553221_at"	0.044039999999999	5.4165148	0.315429408459587	0.758658680709119	0.898900422789659	-6.18805501567264	"NO"	"NO"	"ZNF583"
"1553224_at"	0.0455893999999994	3.4034287	0.406698322621636	0.692452584269827	0.863655981159382	-6.15373776924435	"NO"	"NO"	"LUZP1"
"1553232_at"	-0.154350000000001	3.9850134	-1.69481180640724	0.119724914641409	0.377750602768802	-4.90839882816595	"NO"	"NO"	"FLJ32954"
"1553238_a_at"	-0.121332800000002	6.0515698	-1.25111202988785	0.238237545541152	0.527272886513879	-5.47302166166543	"NO"	"NO"	"HIPK4"
"1553239_at"	0.0179061999999988	5.0078113	0.133809594521801	0.896100781778402	0.960117590693165	-6.23084827114366	"NO"	"NO"	"FLJ30707"
"1553253_at"	-0.0742001999999991	6.0943135	-0.883466331467297	0.396897518264496	0.676024249409373	-5.84375709826328	"NO"	"NO"	"ASB16"
"1553268_at"	-0.0955516000000003	4.4091346	-1.08185900142375	0.303701207551187	0.594463604426766	-5.65629454846891	"NO"	"NO"	"RHBDL4"
"1553272_at"	-0.0747648000000005	4.9323688	-0.750780639753177	0.469389716400353	0.729971193372663	-5.95097009048754	"NO"	"NO"	"SLC36A1"
"1553277_at"	0.0853331999999996	3.0411136	1.13098002394242	0.283406637158336	0.575109783547833	-5.60520261853579	"NO"	"NO"	"RTTN"
"1553280_at"	0.0428544000000013	4.1511598	0.426246663262934	0.678594281396308	0.856652543642312	-6.14529374077149	"NO"	"NO"	"FLJ32312"
