"Gene_id"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffexpressed"	"diffexpressed2"	"Symbol"
"GI_10047089-S"	-0.00154052526091952	7.25795453672797	-0.126203128107888	0.900136796191545	0.984884823725184	-6.36548162622955	"NO"	"NO"	"SMPX"
"GI_10047091-S"	-0.0433652107539144	7.62659021383661	-0.841064190840716	0.404786532427612	0.860966961614855	-6.02493336556817	"NO"	"NO"	"NP25"
"GI_10047093-S"	0.018849090025018	8.04942568416179	0.439709628811358	0.66226498154642	0.941223235328052	-6.27758898919711	"NO"	"NO"	"HSP70-4"
"GI_10047099-S"	-0.0450340050885005	7.58201299359815	-1.11496505074945	0.270821057405314	0.787813668424392	-5.76471691903731	"NO"	"NO"	"LOC51186"
"GI_10047103-S"	0.0687016714010351	8.98881895326122	2.2144818591524	0.0319353933905132	0.394198971430593	-4.0661732045179	"NO"	"NO"	"SS18L2"
"GI_10047105-S"	0.287390773580007	8.01104202486921	1.44052232405305	0.15668419462888	0.673233393788239	-5.36676204212727	"NO"	"NO"	"CPA4"
"GI_10047121-S"	0.0144213167543059	7.28920709352384	1.00440125352108	0.320588801879534	0.816068685021002	-5.87814200617141	"NO"	"NO"	"MCFP"
"GI_10047123-S"	0.0519623990430036	7.90390951445767	1.23532979277961	0.223157968318792	0.746742121521827	-5.62857310830268	"NO"	"NO"	"LOC55974"
"GI_10092578-S"	-0.00603332098360454	7.24973650630349	-0.471105811428433	0.639855116908299	0.935602765195185	-6.26345587731343	"NO"	"NO"	"ITIH3"
"GI_10092585-S"	-0.0165732147941373	7.47767656880084	-0.952333131976657	0.346046857813846	0.829048089151893	-5.92764539648254	"NO"	"NO"	"ZNF236"
"GI_10092596-S"	0.15602066835446	7.87969348423172	3.74843547455146	0.000508028803381673	0.0854940983110215	-0.331499535083155	"NO"	"NO"	"MCOLN1"
"GI_10092600-S"	0.151981000747591	8.45189458526614	2.33939769033495	0.0238415221966627	0.352781800292257	-3.8138830512945	"NO"	"NO"	"EIF4G3"
"GI_10092602-S"	-0.00467265364944236	7.28296648161816	-0.402947637535521	0.688906564028535	0.946786121364354	-6.29290962644231	"NO"	"NO"	"PRG3"
"GI_10092603-S"	0.0259101938732158	7.29615329263427	2.07556362272182	0.0437148005340741	0.445079536875769	-4.33370869199291	"NO"	"NO"	"C10orf1"
