Symbol	pathway_name
1	GNA12	MAPK signaling pathway
2	RAPGEF2	MAPK signaling pathway
3	RASGRF1	MAPK signaling pathway
4	RASGRP1	MAPK signaling pathway
5	RAP1A	MAPK signaling pathway
6	TNF	MAPK signaling pathway
7	IL1A	MAPK signaling pathway
8	FASLG	MAPK signaling pathway
9	TGFB1	MAPK signaling pathway
10	FAS	MAPK signaling pathway
11	TGFBR1	MAPK signaling pathway
12	GRB2	MAPK signaling pathway
13	SOS1	MAPK signaling pathway
14	HGF	MAPK signaling pathway
15	TAB2	MAPK signaling pathway
16	ECSIT	MAPK signaling pathway
17	SRF	MAPK signaling pathway
18	LAMTOR3	MAPK signaling pathway
19	MAPK1	MAPK signaling pathway
20	MAPK8IP2	MAPK signaling pathway
21	MAPK8	MAPK signaling pathway
22	MAP2K4	MAPK signaling pathway
23	MAP2K7	MAPK signaling pathway
24	MAPK8IP3	MAPK signaling pathway
25	MAP3K11	MAPK signaling pathway
26	PRKACA	MAPK signaling pathway
27	PRKCA	MAPK signaling pathway
28	RRAS2	MAPK signaling pathway
29	BRAF	MAPK signaling pathway
30	RAF1	MAPK signaling pathway
31	MAP2K1	MAPK signaling pathway
32	MAP2K2	MAPK signaling pathway
33	MKNK2	MAPK signaling pathway
34	RPS6KA6	MAPK signaling pathway
35	RAC1	MAPK signaling pathway
36	CASP3	MAPK signaling pathway
37	TRAF2	MAPK signaling pathway
38	DAXX	MAPK signaling pathway
39	SMIM40	MAPK signaling pathway
40	GADD45G	MAPK signaling pathway
41	PAK1	MAPK signaling pathway
42	MAP4K1	MAPK signaling pathway
43	MAP4K4	MAPK signaling pathway
44	MAP4K3	MAPK signaling pathway
45	MAP3K12	MAPK signaling pathway
46	MAP3K13	MAPK signaling pathway
47	MAP3K20	MAPK signaling pathway
48	MAP3K5	MAPK signaling pathway
49	MAP3K7	MAPK signaling pathway
50	MAP3K6	MAPK signaling pathway
51	MAP2K3	MAPK signaling pathway
52	MAP2K6	MAPK signaling pathway
53	MAPK14	MAPK signaling pathway
54	MAPKAPK5	MAPK signaling pathway
55	MAPKAPK3	MAPK signaling pathway
56	RPS6KA4	MAPK signaling pathway
57	MAP2K5	MAPK signaling pathway
58	MAPK7	MAPK signaling pathway
59	MAP3K8	MAPK signaling pathway
60	MAP3K1	MAPK signaling pathway
61	PPP3CA	MAPK signaling pathway
62	CCN1	MAPK signaling pathway
63	AKT3	MAPK signaling pathway
64	RASA2	MAPK signaling pathway
65	NF1	MAPK signaling pathway
66	RASA1	MAPK signaling pathway
67	DUSP3	MAPK signaling pathway
68	DUSP10	MAPK signaling pathway
69	PPM1A	MAPK signaling pathway
70	PPP5C	MAPK signaling pathway
71	PPM1B	MAPK signaling pathway
72	MECOM	MAPK signaling pathway
73	HSPA1A	MAPK signaling pathway
74	CD14	MAPK signaling pathway
75	MAP3K14	MAPK signaling pathway
76	CHUK	MAPK signaling pathway
77	TAB1	MAPK signaling pathway
78	TNFRSF1A	MAPK signaling pathway
79	TRADD	MAPK signaling pathway
80	IL1R1	MAPK signaling pathway
81	MYD88	MAPK signaling pathway
82	IRAK1	MAPK signaling pathway
83	TRAF6	MAPK signaling pathway
84	CSF1	MAPK signaling pathway
85	ARAF	MAPK signaling pathway
86	MAP3K4	MAPK signaling pathway
87	TAOK3	MAPK signaling pathway
88	CSF1R	MAPK signaling pathway
89	ELK1	MAPK signaling pathway
90	ELK4	MAPK signaling pathway
91	CRK	MAPK signaling pathway
92	FLNA	MAPK signaling pathway
93	ARRB1	MAPK signaling pathway
94	MAPT	MAPK signaling pathway
95	STMN1	MAPK signaling pathway
96	PLA2G4B	MAPK signaling pathway
97	ATF4	MAPK signaling pathway
