Symbol	Endpoint_bool	Endpoint_cat	Phenotype	Notes
ACTB	FALSE	Regulation of actin cytoskeleton		binding
CASP1	TRUE	Caspases		
AIM2	FALSE			binding 2
CASP3	TRUE	Caspases		
BCL3	FALSE			binds to TF
BLNK	FALSE			binding
CARD10	FALSE			binding
CARD11	FALSE			binding
CASP7	TRUE	Caspases		
CYBA	TRUE	Other	ROS	
CYBB	TRUE	Other	ROS	
CD4	FALSE			binding
CD40	FALSE			binding
DNM1L	TRUE	Other	Necroptosis/Cell Death	
GABARAP	TRUE	Other	Autophagy	
CLEC6A	FALSE			binding 2
CLEC7A	FALSE			binding
ACTN4	TRUE	Regulation of actin cytoskeleton	Actin polymerisation	
ARPC5	TRUE	Regulation of actin cytoskeleton	Actin polymerisation	
CFL1	TRUE	Regulation of actin cytoskeleton	Actin polymerisation	
ENAH	TRUE	Regulation of actin cytoskeleton	Actin polymerisation	
DHX33	FALSE			binding
GSN	TRUE	Regulation of actin cytoskeleton	Actin polymerisation	
EDA2R	FALSE			binding
EDAR	FALSE			binding 2
IQGAP1	TRUE	Regulation of actin cytoskeleton	Actin polymerisation	
MYL12B	TRUE	Regulation of actin cytoskeleton	Actin polymerisation	
PFN	TRUE	Regulation of actin cytoskeleton	Actin polymerisation	
FCGR1A	FALSE			binding
PXN	TRUE	Regulation of actin cytoskeleton	Actin polymerisation	
VCL	TRUE	Regulation of actin cytoskeleton	Actin polymerisation	
CEBPB	TRUE	TF		
IKBKG	FALSE			binding
CREB1	TRUE	TF		
CREB3	TRUE	TF		
ESR1	TRUE	TF		
ESR2	TRUE	TF		
FOS	TRUE	TF		
IRF1	TRUE	TF		MDM2 not endpoint
IRF3	TRUE	TF		
KCNJ3	FALSE			channel
LCP2	FALSE			binding
MDM2	FALSE			binds to IRF1 
IRF5	TRUE	TF		
IRF7	TRUE	TF		
IRF9	TRUE	TF		binds to STA1
JUN	TRUE	TF		
NFKBIA	FALSE			dissociates with NFKB1
NLRC4	FALSE			binding 2
NLRP1	FALSE			binding 2
NLRP3	FALSE			binding
NFATC1	TRUE	TF		
PIN1	FALSE	TF		binding
NFKB1	TRUE	TF		
PYCARD	FALSE			binding
NFKB2	TRUE	TF		
RELA	TRUE	TF		
RELB	TRUE	TF		
TAB1	FALSE			binding
TYK2	FALSE			binding
TYROBP	FALSE			binding
STAT1	TRUE	TF		
