Locus	Uniprot ID	Gene Symbol	Protein Length	Spectrum Count_HBE_1	Spectrum Count_HBE_2	Spectrum Count_HBE_3	Spectrum Count_CFBE_1	Spectrum Count_CFBE_2	Spectrum Count_CFBE_3	HBE_Spectrum Count_Sum	CFBE_Spectrum Count_sum	NSAF_HBE_1	NSAF_HBE_2	NSAF_HBE_3	NSAF_CFBE_1	NSAF_CFBE_2	NSAF_CFBE_3	HBE_NSAF_avg	CFBE_NSAF_avg	CFBE_NSAF_avg/HBE_NSAF_avg	log2(CFBE_NSAF_avg/HBE_NSAF_avg)	p_value
sp|Q6ZSR9|YJ005_HUMAN	Q6ZSR9	0	355	2	7	5	12	6	13	14	31	1,60404E-05	5,21933E-05	3,93367E-05	9,5132E-05	5,05927E-05	8,7968E-05	0,000036	0,000078	2,17	1,12	0,104887054
sp|A6NDJ8|RB43L_HUMAN	A6NDJ8	0	181	3	3	2	2	2	4	8	8	4,71907E-05	4,3872E-05	3,08609E-05	3,10975E-05	3,30763E-05	5,30874E-05	0,000041	0,000039	0,96	-0,06	0,818619815
sp|A6NL28|TPM3L_HUMAN	A6NL28	0	223	12	13	12	11	15	10	37	36	0,000153211	0,000154306	0,000150291	0,000138823	0,00020135	0,000107722	0,000153	0,000149	0,98	-0,03	0,776646645
sp|A6NNZ2|TBB8L_HUMAN	A6NNZ2	0	444	90	54	78	58	103	87	222	248	0,000577129	0,000321926	0,000490646	0,000367637	0,000694415	0,000470702	0,000463	0,000511	1,10	0,14	0,735284431
sp|Q15019|SEPT2_HUMAN	Q15019	41884	361	44	23	35	41	36	57	102	134	0,000347024	0,000168642	0,00027078	0,000319632	0,000298511	0,000379295	0,000262	0,000332	1,27	0,34	0,285239927
sp|Q14141|SEPT6_HUMAN	Q14141	41888	434	16	15	19	22	34	22	50	78	0,000104965	9,14843E-05	0,00012227	0,000142662	0,000234506	0,000121771	0,000106	0,000166	1,57	0,65	0,125289489
sp|Q16181|SEPT7_HUMAN	Q16181	41889	437	60	68	58	84	68	80	186	232	0,000390916	0,000411882	0,000370683	0,000540968	0,000465793	0,000439763	0,000391	0,000482	1,23	0,30	0,040062533
sp|Q92599|SEPT8_HUMAN	Q92599	41890	483	21	18	24	16	26	32	63	74	0,00012379	9,8644E-05	0,000138778	9,32281E-05	0,000161136	0,000159152	0,000120	0,000138	1,14	0,20	0,607927531
sp|Q9UHD8|SEPT9_HUMAN	Q9UHD8	41891	586	56	49	61	57	77	83	166	217	0,000272085	0,000221332	0,000290729	0,000273748	0,000393331	0,000340244	0,000261	0,000336	1,28	0,36	0,139144344
sp|Q9NVA2|SEP11_HUMAN	Q9NVA2	41893	429	26	29	38	37	40	43	93	120	0,000172556	0,000178931	0,00024739	0,000242727	0,000279105	0,00024078	0,000200	0,000254	1,27	0,35	0,111305678
