source	target	type	effect	arrow	relation_id	kegg_id_source	genesymbol_source	uniprot_source	kegg_id_target	genesymbol_target	uniprot_target	pathway_name
1	52	48	PPrel	activation	-->	hsa04010:1	hsa:2768 hsa:55970	GNA12	Q03113	hsa:5922	RASA2	Q15283	MAPK signaling pathway
2	47	49	PPrel	activation	-->	hsa04010:2	hsa:9693	RAPGEF2	Q9Y4G8	hsa:22800 hsa:22808 hsa:3265 hsa:3845 hsa:4893 hsa:6237	RRAS2	P62070	MAPK signaling pathway
3	20	49	PPrel	activation	-->	hsa04010:3	hsa:5923 hsa:5924	RASGRF1	Q13972	hsa:22800 hsa:22808 hsa:3265 hsa:3845 hsa:4893 hsa:6237	RRAS2	P62070	MAPK signaling pathway
4	50	49	PPrel	activation	-->	hsa04010:4	hsa:10125 hsa:10235 hsa:115727 hsa:25780	RASGRP1	O95267	hsa:22800 hsa:22808 hsa:3265 hsa:3845 hsa:4893 hsa:6237	RRAS2	P62070	MAPK signaling pathway
5	45	41	PPrel	activation	-->	hsa04010:5	hsa:5906 hsa:5908	RAP1A	P62834	hsa:673	BRAF	P15056	MAPK signaling pathway
6	111	108	PPrel	activation	-->	hsa04010:6	hsa:7124	TNF	P01375	hsa:7132	TNFRSF1A	P19438	MAPK signaling pathway
7	110	107	PPrel	activation	-->	hsa04010:7	hsa:3552 hsa:3553	IL1A	P01583	hsa:3554 hsa:3556	IL1R1	P14778	MAPK signaling pathway
8	24	106	PPrel	activation	-->	hsa04010:8	hsa:356	FASLG	P48023	hsa:355	FAS	P25445	MAPK signaling pathway
9	109	105	PPrel	activation	-->	hsa04010:9	hsa:7040 hsa:7042 hsa:7043	TGFB1	P01137	hsa:7046 hsa:7048	TGFBR1	P36897	MAPK signaling pathway
10	106	101	PPrel	activation	-->	hsa04010:10	hsa:355	FAS	P25445	hsa:1616	DAXX	Q9UER7	MAPK signaling pathway
11	106	101	PPrel	activation	-->	hsa04010:10	hsa:355	FAS	P25445	hsa:1616	SMIM40	Q5STR5	MAPK signaling pathway
12	105	101	PPrel	activation	-->	hsa04010:11	hsa:7046 hsa:7048	TGFBR1	P36897	hsa:1616	DAXX	Q9UER7	MAPK signaling pathway
13	105	101	PPrel	activation	-->	hsa04010:11	hsa:7046 hsa:7048	TGFBR1	P36897	hsa:1616	SMIM40	Q5STR5	MAPK signaling pathway
14	53	54	PPrel	binding/association	---	hsa04010:12	hsa:2885	GRB2	P62993	hsa:1436 hsa:1956 hsa:1969 hsa:2064 hsa:2065 hsa:2066 hsa:2260 hsa:2261 hsa:2263 hsa:2264 hsa:2321 hsa:2322 hsa:2324 hsa:3480 hsa:3643 hsa:3791 hsa:3815 hsa:4233 hsa:4804 hsa:4914 hsa:4915 hsa:5156 hsa:5159 hsa:7010	CSF1R	P07333	MAPK signaling pathway
15	51	53	PPrel	binding/association	---	hsa04010:13	hsa:6654 hsa:6655	SOS1	Q07889	hsa:2885	GRB2	P62993	MAPK signaling pathway
16	51	53	PPrel	binding/association	---	hsa04010:13	hsa:6654 hsa:6655	HGF	P14210	hsa:2885	GRB2	P62993	MAPK signaling pathway
17	97	100	PPrel	binding/association	---	hsa04010:14	hsa:23118	TAB2	Q9NYJ8	hsa:7189	TRAF6	Q9Y4K3	MAPK signaling pathway
18	96	100	PPrel	binding/association	---	hsa04010:15	hsa:51295	ECSIT	Q9BQ95	hsa:7189	TRAF6	Q9Y4K3	MAPK signaling pathway
19	138	141	PPrel	binding/association	---	hsa04010:16	hsa:6722	SRF	P11831	hsa:2002	ELK1	P19419	MAPK signaling pathway
20	138	140	PPrel	binding/association	---	hsa04010:17	hsa:6722	SRF	P11831	hsa:2005	ELK4	P28324	MAPK signaling pathway
21	37	39	PPrel	binding/association	---	hsa04010:18	hsa:8649	LAMTOR3	Q9UHA4	hsa:5604	MAP2K1	Q02750	MAPK signaling pathway
22	37	38	PPrel	binding/association	---	hsa04010:19	hsa:8649	LAMTOR3	Q9UHA4	hsa:5605	MAP2K2	P36507	MAPK signaling pathway
23	36	37	PPrel	binding/association	---	hsa04010:20	hsa:5594 hsa:5595	MAPK1	P28482	hsa:8649	LAMTOR3	Q9UHA4	MAPK signaling pathway
